tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth year,gender,birth_year,duration_min,start_hour,start_wday,is_weekend,start_month,dist_m,dist_km,speed_km_min,route_key,n_route_hour,med_dur,mad_dur,n_route,med_dur_route,mad_dur_route,exp_dur,exp_mad,z_robust,ratio,proxy_anom,proxy_anom_hard,age,gender_f,iforest_score,iforest_anom
276,2015-01-01T08:22:00Z,2015-01-01T08:26:00Z,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,23,Subscriber,1993,1,1993,4.6,8,4,0,1,851.2775419248825,0.8512775419248825,0.1850603352010614,75->67,8,4.241666666666667,0.8154299999999997,56,4,0.6301050000000004,4,0.6301050000000004,0.9522222486728391,1.15,0,0,33,1,0.40774886946300226,0
1476,2015-01-01T08:29:00Z,2015-01-01T08:53:00Z,115,Porter Square Station,42.387995,-71.119084,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,842,Subscriber,1978,1,1978,24.6,8,4,0,1,5477.839272660273,5.477839272660273,0.22267639319757207,115->36,3,29.916666666666668,0.6177499999999965,5,29.033333333333335,1.3096299999999992,6.766666666666667,3.4841099999999994,5.118475976169909,3.6354679802955667,0,0,48,1,0.5484219922881359,0
1095,2015-01-01T08:58:00Z,2015-01-01T09:16:00Z,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,959,Subscriber,1988,2,1988,18.25,8,4,0,1,3975.9013119264105,3.9759013119264104,0.217857606132954,88->23,1,18.25,0,1,18.25,0,6.766666666666667,3.4841099999999994,3.29591583886081,2.6970443349753697,0,0,38,2,0.560351841105245,0
446,2015-01-01T09:15:00Z,2015-01-01T09:22:00Z,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1306,Subscriber,1988,1,1988,7.433333333333334,9,4,0,1,1603.542873613618,1.603542873613618,0.2157232565399486,90->80,1,7.433333333333334,0,10,8.733333333333333,1.4331800000000001,6.766666666666667,3.4841099999999994,0.19134489630541718,1.0985221674876848,0,0,38,1,0.39578721722301363,0
426,2015-01-01T09:26:00Z,2015-01-01T09:33:00Z,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,854,Customer,1989,2,1989,7.1,9,4,0,1,1414.890698360705,1.414890698360705,0.19928038005080354,116->80,6,6.575,0.38300499999999993,30,7.858333333333333,1.7544099999999996,7.858333333333333,1.7544099999999996,-0.4322440782561282,0.9034994697773064,0,0,37,2,0.5182587848849559,0
1274,2015-01-01T10:02:00Z,2015-01-01T10:23:00Z,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,46,Christian Science Plaza,42.343864,-71.085918,703,Customer,1982,1,1982,21.233333333333334,10,4,0,1,3592.749718974371,3.5927497189743707,0.16920328346818073,88->46,1,21.233333333333334,0,5,18.633333333333333,0.8648499999999982,6.766666666666667,3.4841099999999994,4.152184249827552,3.137931034482759,0,0,44,1,0.541689017217804,0
539,2015-01-01T10:27:00Z,2015-01-01T10:36:00Z,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,656,Subscriber,1985,2,1985,8.983333333333333,10,4,0,1,1240.9704054369265,1.2409704054369266,0.1381414180449269,95->80,12,7.366666666666667,1.7914750000000008,50,7.425000000000001,1.890315000000001,7.425000000000001,1.890315000000001,0.8243775949158373,1.2098765432098764,0,0,41,2,0.4493967382811699,0
793,2015-01-01T10:33:00Z,2015-01-01T10:46:00Z,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,115,Porter Square Station,42.387995,-71.119084,738,Subscriber,1991,1,1991,13.216666666666667,10,4,0,1,2262.3638993116997,2.2623638993117,0.17117507434893064,116->115,1,13.216666666666667,0,4,12.833333333333332,1.6679249999999999,6.766666666666667,3.4841099999999994,1.8512618717549105,1.9532019704433499,0,0,35,1,0.4315386139166803,0
479,2015-01-01T10:43:00Z,2015-01-01T10:51:00Z,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,141,Kendall Street,42.36356016,-71.08216792,1113,Subscriber,1984,1,1984,7.983333333333333,10,4,0,1,1999.302299906683,1.999302299906683,0.2504345260843444,116->141,1,7.983333333333333,0,5,9.516666666666667,2.273320000000001,6.766666666666667,3.4841099999999994,0.34920443575738624,1.1798029556650247,0,0,42,1,0.41354234175044247,0
365,2015-01-01T10:48:00Z,2015-01-01T10:54:00Z,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,549,Customer,1962,2,1962,6.083333333333333,10,4,0,1,1010.298266090189,1.0102982660901891,0.16607642730249686,110->104,5,6.633333333333334,0.7660099999999999,34,6.241666666666667,0.7907200000000004,6.241666666666667,0.7907200000000004,-0.20023944421961506,0.9746328437917222,0,0,64,2,0.5209065152901627,0
