tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth year,gender,birth_year,duration_min,start_hour,start_wday,is_weekend,start_month,dist_m,dist_km,speed_km_min,route_key,n_route_hour,med_dur,mad_dur,n_route,med_dur_route,mad_dur_route,exp_dur,exp_mad,z_robust,ratio,proxy_anom,proxy_anom_hard,age,gender_f,iforest_score,iforest_anom
1519,2015-01-04T17:18:00Z,2015-01-04T17:43:00Z,142,Alewife Station at Russell Field,42.396105,-71.139459,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,741,Subscriber,1944,1,1944,25.316666666666666,17,7,1,1,2745.506509215518,2.745506509215518,0.10844660339231803,142->108,3,18.116666666666667,1.9520899999999994,9,16.8,1.9520899999999994,6.766666666666667,3.4841099999999994,5.324171739698231,3.7413793103448274,0,0,82,1,0.6265743081529935,1
1106,2015-01-04T17:54:00Z,2015-01-04T18:13:00Z,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1303,Customer,1978,2,1978,18.433333333333334,17,7,1,1,1906.2419157716852,1.9062419157716852,0.10341276215759594,73->105,2,15.466666666666667,4.3983799999999995,8,11.116666666666667,3.9412449999999994,6.766666666666667,3.4841099999999994,3.3485356853447996,2.7241379310344827,0,0,48,2,0.6369662196260187,1
695,2015-01-04T18:49:00Z,2015-01-04T19:00:00Z,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1077,Customer,1963,2,1963,11.583333333333334,18,7,1,1,2267.8567626844215,2.2678567626844215,0.19578619533966227,118->89,1,11.583333333333334,0,2,12.358333333333334,1.1490149999999992,6.766666666666667,3.4841099999999994,1.3824668758066387,1.7118226600985222,0,0,63,2,0.632942353068583,1
1223,2015-01-04T23:19:00Z,2015-01-04T23:40:00Z,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,1287,Subscriber,1964,1,1964,20.383333333333333,23,7,1,1,5093.558869215721,5.0935588692157205,0.2498884154970918,80->118,3,24.166666666666668,1.11195,5,24.166666666666668,1.2107899999999996,6.766666666666667,3.4841099999999994,3.9082195070381447,3.0123152709359604,0,0,62,1,0.650919197885297,1
10403,2015-01-06T10:00:00Z,2015-01-06T12:53:00Z,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1279,Subscriber,1979,2,1979,173.38333333333333,10,2,0,1,4287.186324014172,4.287186324014172,0.024726634570878626,118->68,1,173.38333333333333,0,2,98.6,110.87377,6.766666666666667,3.4841099999999994,47.82187320913136,25.623152709359605,1,1,47,2,0.6590944713228387,1
2151,2015-01-07T16:34:00Z,2015-01-07T17:10:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1275,Customer,1987,2,1987,35.85,16,3,0,1,0,0,0,68->68,2,19.150000000000002,24.759420000000002,12,11.524999999999999,13.083945000000002,6.766666666666667,3.4841099999999994,8.347421101323821,5.298029556650246,0,1,39,2,0.6400922133530403,1
58147,2015-01-08T22:29:00Z,2015-01-09T14:38:00Z,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1,18 Dorrance Warehouse,42.387151,-71.075978,654,Subscriber,\N,0,NA,969.1166666666667,22,4,0,1,3323.1744801025243,3.3231744801025243,0.0034290757701369193,75->1,1,969.1166666666667,0,1,969.1166666666667,0,6.766666666666667,3.4841099999999994,276.21114143927724,143.2192118226601,1,1,NA,0,0.6625952775984227,1
76004,2015-01-09T22:42:00Z,2015-01-10T19:49:00Z,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,33,Kenmore Sq / Comm Ave,42.348706,-71.097009,766,Customer,1987,2,1987,1266.7333333333333,22,5,0,1,1091.720296499598,1.091720296499598,8.61839084653122e-4,67->33,2,637.025,933.6055749999998,7,8.6,1.4826,6.766666666666667,3.4841099999999994,361.6322867724231,187.20197044334975,1,1,39,2,0.6736051599694796,1
433,2015-01-10T04:15:00Z,2015-01-10T04:22:00Z,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1007,Customer,1984,2,1984,7.216666666666667,4,6,1,1,1902.8441581060251,1.9028441581060251,0.26367355539575404,72->116,1,7.216666666666667,0,16,8.675,1.5814399999999995,6.766666666666667,3.4841099999999994,0.1291578050061566,1.0665024630541873,0,0,42,2,0.6359211957576721,1
1200,2015-01-10T10:19:00Z,2015-01-10T10:39:00Z,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,46,Christian Science Plaza,42.343864,-71.085918,898,Customer,1988,2,1988,20,10,6,1,1,2688.133391002816,2.688133391002816,0.1344066695501408,84->46,1,20,0,1,20,0,6.766666666666667,3.4841099999999994,3.7981961916625298,2.955665024630542,0,0,38,2,0.6341843735297479,1
